company,industry,region,lead_source,job_title,current_plan,employees,annual_revenue_musd,trial_users,pricing_page_visits,daily_active_users,invited_teammates,webinar_attended,support_tickets,days_since_signup,email_opens,product_sessions,feature_events,buying_intent_score,icp_match_score,converted
FinTech Co 1424,FinTech,Europe,Email Campaign,VP,Growth,20,0.21,27,20,7,2,0,5,201,27,47,4,16,49,0
RealEstate Co 1425,Real Estate,APAC,Organic Search,C-Level,Starter,2096,60.16,38,50,5,13,0,2,80,18,128,192,23,38,0
Healthcare Co 1426,Healthcare,India,Organic Search,VP,Free Trial,48,1.16,54,22,1,8,0,3,151,15,84,10,47,98,0
Manufacturing Co 1427,Manufacturing,Middle East,Organic Search,C-Level,Enterprise,1299,22.06,31,60,2,5,0,9,70,5,35,161,97,23,0
RealEstate Co 1428,Real Estate,Europe,Organic Search,Individual Contributor,Free Trial,2041,74.84,6,1,0,11,0,8,207,38,31,45,100,66,0
Manufacturing Co 1429,Manufacturing,LATAM,Organic Search,Individual Contributor,Starter,109,1.14,22,37,21,4,1,8,293,24,103,44,87,14,0
E-commerce Co 1430,E-commerce,Middle East,Partner,Manager,Enterprise,140,4.91,44,13,7,13,1,2,22,22,117,155,10,77,0
FinTech Co 1431,FinTech,Europe,Webinar,C-Level,Enterprise,1845,55.9,9,69,9,13,0,8,386,31,20,193,72,69,1
Manufacturing Co 1432,Manufacturing,North America,Conference,Individual Contributor,Enterprise,472,5.39,34,10,3,2,1,6,143,27,73,63,95,53,0
SaaS Co 1433,SaaS,LATAM,Conference,C-Level,Growth,53,1.23,31,89,27,11,0,4,326,0,60,11,7,70,1
FinTech Co 1434,FinTech,LATAM,Webinar,VP,Growth,3099,102.71,1,63,5,14,1,0,287,10,15,2,37,53,0
RealEstate Co 1435,Real Estate,India,Paid Ads,Individual Contributor,Growth,1157,22.36,16,9,17,4,0,0,99,0,5,138,31,78,0
FinTech Co 1436,FinTech,India,Email Campaign,Individual Contributor,Growth,18,0.56,15,49,10,2,1,8,54,16,2,120,20,22,1
FinTech Co 1437,FinTech,APAC,Referral,C-Level,Growth,1395,46.22,14,35,9,8,0,2,159,17,37,116,56,17,1
Manufacturing Co 1438,Manufacturing,LATAM,Webinar,Director,Enterprise,256,2.19,35,85,38,10,0,5,240,31,112,98,48,62,0
Healthcare Co 1439,Healthcare,Middle East,Webinar,Director,Enterprise,310,6.14,50,51,22,12,0,9,12,24,75,63,58,51,0
Cybersecurity Co 1440,Cybersecurity,Europe,Partner,VP,Starter,1004,22.99,19,18,12,13,0,9,83,17,72,149,51,36,1
E-commerce Co 1441,E-commerce,North America,Organic Search,C-Level,Enterprise,232,5.68,24,52,11,2,0,3,172,10,37,200,58,30,1
SaaS Co 1442,SaaS,North America,Conference,Individual Contributor,Enterprise,7,0.24,1,87,9,10,0,4,327,4,41,51,64,60,0
SaaS Co 1443,SaaS,North America,Partner,VP,Growth,449,15.13,26,33,23,17,0,1,164,0,124,112,20,76,1
EdTech Co 1444,EdTech,India,Paid Ads,Director,Enterprise,1072,35.42,24,3,13,11,0,3,29,8,36,216,10,84,0
Manufacturing Co 1445,Manufacturing,LATAM,Paid Ads,Individual Contributor,Enterprise,9,0.25,4,60,7,15,1,2,305,19,61,186,64,62,0
SaaS Co 1446,SaaS,Europe,Conference,Individual Contributor,Enterprise,180,4.69,4,90,11,14,1,0,260,23,50,148,51,29,1
Healthcare Co 1447,Healthcare,APAC,Referral,Individual Contributor,Starter,192,7.11,16,12,19,12,0,8,216,0,119,26,94,67,0
Healthcare Co 1448,Healthcare,LATAM,Webinar,Manager,Growth,300,7.93,9,0,11,16,1,1,53,26,122,174,87,53,0
Manufacturing Co 1449,Manufacturing,LATAM,Email Campaign,C-Level,Growth,2352,49.49,13,61,1,9,1,0,339,31,88,56,98,18,0
SaaS Co 1450,SaaS,LATAM,Conference,Individual Contributor,Starter,3076,34.55,29,21,15,0,1,9,35,25,33,125,48,16,0
Manufacturing Co 1451,Manufacturing,Middle East,Webinar,Manager,Growth,9,0.36,44,89,19,4,0,8,32,2,34,36,42,55,0
Cybersecurity Co 1452,Cybersecurity,North America,Conference,C-Level,Enterprise,3009,79.31,28,85,35,10,1,4,319,28,28,77,7,35,1
Manufacturing Co 1453,Manufacturing,Europe,Organic Search,VP,Enterprise,70,1.14,27,6,14,6,1,5,21,16,19,165,40,94,0
RealEstate Co 1454,Real Estate,LATAM,LinkedIn,Manager,Enterprise,481,7.58,54,37,23,17,0,8,185,16,16,12,76,38,0
SaaS Co 1455,SaaS,India,Partner,Director,Free Trial,8,0.22,51,67,15,17,0,6,178,15,82,15,47,89,1
FinTech Co 1456,FinTech,Middle East,Conference,C-Level,Free Trial,522,16.32,53,30,40,14,0,0,122,23,50,31,92,52,1
E-commerce Co 1457,E-commerce,India,Webinar,Manager,Enterprise,1012,17.04,9,70,11,13,0,1,324,30,117,87,33,93,0
Cybersecurity Co 1458,Cybersecurity,India,Partner,C-Level,Growth,311,8.07,14,8,10,16,0,1,154,22,9,51,34,62,0
E-commerce Co 1459,E-commerce,India,LinkedIn,Director,Enterprise,13,0.4,0,22,3,1,0,6,352,0,85,75,59,49,0
EdTech Co 1460,EdTech,Middle East,Partner,Individual Contributor,Enterprise,106,3.92,16,27,14,16,0,8,180,2,128,30,72,12,0
Healthcare Co 1461,Healthcare,LATAM,Webinar,Individual Contributor,Growth,78,1.82,53,48,3,12,1,3,5,28,105,165,92,81,0
SaaS Co 1462,SaaS,India,Referral,Manager,Enterprise,604,9.32,55,74,9,18,0,8,346,1,98,166,31,34,1
Healthcare Co 1463,Healthcare,India,Referral,Manager,Growth,1102,41.13,53,67,6,18,0,5,230,31,69,135,44,69,0
FinTech Co 1464,FinTech,India,Paid Ads,Director,Starter,19,0.24,55,44,26,7,0,8,118,9,19,89,13,77,0
EdTech Co 1465,EdTech,India,LinkedIn,Individual Contributor,Enterprise,48,1.32,24,1,1,3,1,8,329,6,47,159,46,89,0
FinTech Co 1466,FinTech,LATAM,Organic Search,Director,Enterprise,73,2.91,44,79,1,18,0,0,299,10,104,124,18,28,0
FinTech Co 1467,FinTech,North America,Referral,C-Level,Free Trial,52,1.02,51,50,12,14,1,3,391,18,119,190,44,87,1
SaaS Co 1468,SaaS,Europe,Paid Ads,Individual Contributor,Enterprise,8,0.12,23,54,2,5,1,0,353,37,75,50,70,21,0
Manufacturing Co 1469,Manufacturing,India,Referral,C-Level,Enterprise,18,0.4,25,33,1,11,0,8,286,17,128,60,77,40,0
E-commerce Co 1470,E-commerce,APAC,Webinar,Individual Contributor,Free Trial,15,0.57,1,10,3,10,0,0,153,37,94,193,29,37,0
EdTech Co 1471,EdTech,North America,Email Campaign,C-Level,Enterprise,447,5.25,16,9,16,8,1,8,39,3,96,93,24,6,0
Cybersecurity Co 1472,Cybersecurity,APAC,LinkedIn,Director,Starter,158,2.23,45,66,10,1,0,5,5,11,108,166,29,80,1
E-commerce Co 1473,E-commerce,India,LinkedIn,Director,Enterprise,63,2.27,27,74,26,1,1,1,157,35,118,29,64,47,0
SaaS Co 1474,SaaS,North America,Referral,VP,Starter,119,4.19,17,42,8,10,1,9,368,28,34,91,97,32,1
RealEstate Co 1475,Real Estate,LATAM,Webinar,VP,Starter,17,0.24,13,4,2,9,0,0,362,19,15,44,55,52,0
Manufacturing Co 1476,Manufacturing,Europe,Paid Ads,Individual Contributor,Free Trial,1607,54.73,39,63,19,0,0,8,269,29,57,13,14,48,0
Manufacturing Co 1477,Manufacturing,Middle East,Organic Search,VP,Growth,1463,35.36,13,4,6,0,0,3,194,10,21,82,50,56,0
FinTech Co 1478,FinTech,India,Paid Ads,Director,Growth,1840,29.05,34,55,8,6,0,6,53,16,42,55,97,7,0
SaaS Co 1479,SaaS,North America,Webinar,VP,Free Trial,9,0.2,27,43,22,16,0,5,71,3,92,160,62,73,1
RealEstate Co 1480,Real Estate,India,Organic Search,Manager,Starter,434,15.66,23,89,2,16,0,1,393,3,110,176,16,8,0
FinTech Co 1481,FinTech,Europe,Referral,Manager,Enterprise,3171,79.11,11,13,12,8,0,1,37,5,35,97,89,49,1
EdTech Co 1482,EdTech,APAC,Paid Ads,C-Level,Enterprise,49,0.63,49,84,12,2,0,7,256,2,66,106,72,40,0
FinTech Co 1483,FinTech,North America,Conference,C-Level,Enterprise,76,2.46,5,82,0,6,0,7,309,1,128,47,77,40,1
RealEstate Co 1484,Real Estate,Middle East,Paid Ads,VP,Growth,88,3.45,7,86,6,6,0,8,219,1,114,160,31,67,0
EdTech Co 1485,EdTech,India,Conference,VP,Free Trial,419,6.83,53,15,2,11,0,2,156,9,125,196,12,8,0
Manufacturing Co 1486,Manufacturing,India,Webinar,C-Level,Enterprise,71,2.31,55,75,0,14,1,6,142,18,93,98,72,79,0
E-commerce Co 1487,E-commerce,APAC,Paid Ads,Manager,Enterprise,132,4.09,8,52,16,4,0,0,246,7,62,44,90,43,0
E-commerce Co 1488,E-commerce,APAC,Paid Ads,Individual Contributor,Free Trial,76,0.78,44,41,2,18,1,4,176,7,83,55,30,16,0
FinTech Co 1489,FinTech,India,Organic Search,Director,Starter,2689,24.35,31,14,22,10,0,7,378,6,118,212,40,12,0
FinTech Co 1490,FinTech,India,Webinar,Director,Growth,119,2.83,52,41,13,3,1,7,289,3,102,152,55,63,1
SaaS Co 1491,SaaS,India,Paid Ads,VP,Enterprise,15,0.41,25,8,28,3,0,1,113,37,65,115,75,63,0
E-commerce Co 1492,E-commerce,LATAM,Organic Search,VP,Enterprise,12,0.21,50,47,21,7,1,8,157,6,98,162,60,92,0
RealEstate Co 1493,Real Estate,India,Conference,C-Level,Growth,3231,127.78,7,54,15,17,1,2,92,15,78,179,52,91,0
RealEstate Co 1494,Real Estate,LATAM,Paid Ads,Manager,Starter,524,17.44,11,64,1,9,0,5,10,37,51,133,35,41,0
E-commerce Co 1495,E-commerce,India,Conference,Individual Contributor,Enterprise,207,3.5,1,77,6,16,0,1,176,35,74,194,61,15,0
FinTech Co 1496,FinTech,LATAM,LinkedIn,Manager,Starter,739,7.1,16,50,4,6,0,8,84,31,114,143,19,96,0
Cybersecurity Co 1497,Cybersecurity,Europe,Paid Ads,Director,Growth,405,15.01,14,42,0,17,0,5,188,24,79,38,20,63,0
EdTech Co 1498,EdTech,India,Organic Search,Director,Free Trial,254,6.7,22,65,29,9,0,3,205,11,73,19,23,46,0
Cybersecurity Co 1499,Cybersecurity,Europe,Email Campaign,Director,Free Trial,31,0.48,22,26,23,16,0,5,132,31,64,48,8,25,0
FinTech Co 1500,FinTech,Middle East,LinkedIn,Individual Contributor,Enterprise,151,2.45,46,13,29,4,1,7,123,37,27,111,95,9,0
Manufacturing Co 1501,Manufacturing,LATAM,Referral,C-Level,Growth,2331,87.59,41,15,28,16,1,7,320,8,118,121,57,26,1
RealEstate Co 1502,Real Estate,APAC,Conference,C-Level,Free Trial,2941,42.57,3,7,1,15,0,7,52,0,75,217,71,35,0
SaaS Co 1503,SaaS,Europe,Referral,C-Level,Enterprise,443,7.22,23,15,16,11,0,9,60,16,65,164,65,27,1
SaaS Co 1504,SaaS,North America,Email Campaign,Individual Contributor,Growth,183,2.34,25,35,8,0,1,3,80,9,41,133,94,59,0
FinTech Co 1505,FinTech,APAC,Webinar,Director,Growth,15,0.58,0,88,5,15,0,8,284,1,90,182,73,8,1
FinTech Co 1506,FinTech,APAC,Referral,Individual Contributor,Growth,203,2.02,28,17,15,1,0,4,54,10,92,142,9,92,0
Cybersecurity Co 1507,Cybersecurity,APAC,Referral,VP,Starter,1166,39.27,2,72,0,17,0,0,90,3,101,5,92,29,1
Manufacturing Co 1508,Manufacturing,APAC,Webinar,C-Level,Growth,292,10.01,15,14,23,11,1,4,167,27,56,184,58,57,0
Manufacturing Co 1509,Manufacturing,LATAM,Referral,Manager,Growth,226,6,35,4,22,12,0,8,144,20,26,128,39,6,0
RealEstate Co 1510,Real Estate,India,Conference,Director,Enterprise,22,0.2,3,87,6,0,0,9,190,17,99,62,42,41,0
Manufacturing Co 1511,Manufacturing,Middle East,Conference,C-Level,Starter,59,0.48,55,34,31,11,0,3,184,34,94,156,88,6,0
RealEstate Co 1512,Real Estate,North America,Referral,Individual Contributor,Enterprise,40,0.96,27,26,32,15,1,8,108,23,21,193,6,45,0
EdTech Co 1513,EdTech,Middle East,Webinar,VP,Growth,793,18.76,44,43,30,14,0,6,59,29,113,159,19,6,1
Healthcare Co 1514,Healthcare,India,Webinar,Manager,Growth,375,12.43,32,55,16,17,0,8,330,15,54,212,31,49,0
RealEstate Co 1515,Real Estate,Europe,Paid Ads,VP,Growth,551,16.17,7,11,2,13,0,8,136,8,3,12,24,29,0
RealEstate Co 1516,Real Estate,LATAM,LinkedIn,VP,Starter,191,2.22,29,30,2,13,0,2,177,29,129,205,89,26,0
Cybersecurity Co 1517,Cybersecurity,Middle East,Referral,Individual Contributor,Enterprise,1635,14,51,70,21,17,0,9,326,37,61,147,90,66,1
Healthcare Co 1518,Healthcare,North America,Conference,Manager,Free Trial,187,7.06,41,87,26,4,0,8,135,2,46,42,90,73,0
E-commerce Co 1519,E-commerce,North America,Email Campaign,VP,Starter,1262,50.45,51,66,0,11,0,7,151,33,121,118,21,58,0
Cybersecurity Co 1520,Cybersecurity,APAC,Email Campaign,Individual Contributor,Starter,2022,78.73,0,25,6,5,1,1,104,26,119,214,67,13,0
RealEstate Co 1521,Real Estate,Middle East,Organic Search,Individual Contributor,Free Trial,180,5.5,24,58,8,12,1,0,159,5,108,168,40,12,0
Healthcare Co 1522,Healthcare,Middle East,Email Campaign,VP,Free Trial,5,0.17,46,83,31,15,0,4,318,35,92,158,47,100,0
EdTech Co 1523,EdTech,LATAM,Conference,VP,Starter,11,0.19,14,86,6,1,1,2,316,0,13,26,85,58,0
E-commerce Co 1524,E-commerce,APAC,LinkedIn,VP,Starter,15,0.45,20,77,16,18,0,4,353,4,126,170,46,57,1
E-commerce Co 1525,E-commerce,North America,Webinar,VP,Enterprise,9,0.33,27,8,6,17,0,3,398,27,34,167,9,10,0
EdTech Co 1526,EdTech,North America,Partner,Manager,Free Trial,249,7.37,29,47,14,0,0,2,197,2,71,110,66,96,0
Healthcare Co 1527,Healthcare,Europe,Organic Search,C-Level,Starter,6,0.17,15,3,9,18,0,0,38,5,7,19,6,25,0
Manufacturing Co 1528,Manufacturing,Middle East,Partner,Director,Starter,6,0.07,39,14,6,5,1,0,281,24,125,213,97,98,0
SaaS Co 1529,SaaS,North America,Email Campaign,Manager,Starter,31,1.11,55,49,28,9,0,8,59,22,34,111,84,76,1
Manufacturing Co 1530,Manufacturing,LATAM,Paid Ads,VP,Growth,111,2.43,33,79,26,16,0,2,167,6,97,163,40,43,0
Manufacturing Co 1531,Manufacturing,India,Email Campaign,Individual Contributor,Growth,75,1.14,29,58,3,3,0,0,42,33,27,162,50,57,0
Cybersecurity Co 1532,Cybersecurity,India,Organic Search,Manager,Free Trial,1054,30.3,46,83,15,5,1,6,199,29,62,175,31,53,0
SaaS Co 1533,SaaS,North America,Paid Ads,Individual Contributor,Enterprise,3317,109.69,51,41,31,2,0,0,81,2,82,167,17,66,0
Cybersecurity Co 1534,Cybersecurity,Europe,Paid Ads,Manager,Free Trial,53,1.58,3,74,3,5,1,3,148,33,99,42,57,98,1
Healthcare Co 1535,Healthcare,LATAM,Referral,Director,Enterprise,60,1.05,34,3,13,1,0,4,330,20,74,171,44,65,0
Healthcare Co 1536,Healthcare,APAC,Conference,C-Level,Enterprise,360,12.55,28,43,27,18,0,8,197,18,36,135,62,90,0
Manufacturing Co 1537,Manufacturing,APAC,Webinar,VP,Enterprise,114,1.61,55,55,6,8,1,4,76,2,127,184,86,94,0
SaaS Co 1538,SaaS,India,Organic Search,C-Level,Free Trial,51,0.58,24,84,23,5,0,0,94,16,117,25,16,71,1
SaaS Co 1539,SaaS,APAC,Conference,Director,Free Trial,1034,23.63,43,14,16,4,0,2,120,9,107,24,59,37,0
SaaS Co 1540,SaaS,LATAM,LinkedIn,C-Level,Starter,421,3.42,36,23,22,2,0,2,112,25,125,167,18,84,0
Cybersecurity Co 1541,Cybersecurity,APAC,Email Campaign,C-Level,Starter,201,6.23,48,18,4,10,0,9,135,1,92,123,98,6,0
SaaS Co 1542,SaaS,Middle East,Conference,Manager,Starter,254,5.91,9,90,11,9,0,1,299,12,49,187,57,96,1
FinTech Co 1543,FinTech,Europe,Referral,Manager,Free Trial,6,0.17,21,41,0,3,1,2,228,33,56,122,77,36,0
Healthcare Co 1544,Healthcare,LATAM,Conference,Individual Contributor,Free Trial,243,9.71,2,28,7,3,0,4,369,8,32,18,99,42,0
EdTech Co 1545,EdTech,North America,Paid Ads,VP,Growth,34,0.7,2,71,7,4,1,7,320,26,15,209,25,64,0
E-commerce Co 1546,E-commerce,North America,Organic Search,Manager,Enterprise,1624,16.68,31,54,24,7,1,9,195,13,117,42,45,33,0
Cybersecurity Co 1547,Cybersecurity,Europe,Organic Search,Manager,Starter,76,2.19,0,73,2,5,0,1,228,11,75,16,52,34,1
E-commerce Co 1548,E-commerce,North America,Referral,Director,Enterprise,501,12.02,7,6,3,3,0,0,136,29,11,56,20,57,0
SaaS Co 1549,SaaS,LATAM,Partner,C-Level,Free Trial,103,0.99,3,71,4,9,1,6,241,13,124,179,52,94,1
E-commerce Co 1550,E-commerce,APAC,Referral,Individual Contributor,Free Trial,16,0.45,29,23,10,10,0,7,252,14,113,216,89,24,0
RealEstate Co 1551,Real Estate,Europe,Paid Ads,VP,Free Trial,98,1.15,9,66,16,3,0,6,364,18,119,176,72,97,0
E-commerce Co 1552,E-commerce,India,Referral,Manager,Enterprise,18,0.16,53,4,5,8,1,4,143,33,2,157,61,31,0
FinTech Co 1553,FinTech,Europe,Paid Ads,Director,Growth,2294,33.85,34,27,13,15,1,9,315,26,73,215,98,20,0
Manufacturing Co 1554,Manufacturing,Europe,Conference,Director,Free Trial,368,8.41,9,18,13,2,1,6,94,10,16,208,94,55,0
FinTech Co 1555,FinTech,North America,Conference,Director,Free Trial,1159,14.68,14,86,12,17,1,0,90,11,42,211,95,96,1
SaaS Co 1556,SaaS,North America,Conference,Director,Free Trial,381,12.36,38,34,25,16,0,6,186,3,44,120,9,36,1
E-commerce Co 1557,E-commerce,APAC,Organic Search,Individual Contributor,Enterprise,11,0.13,7,25,9,13,1,3,167,30,31,62,19,27,0
E-commerce Co 1558,E-commerce,North America,Organic Search,C-Level,Enterprise,125,1.75,48,85,36,5,1,5,243,4,85,86,54,51,1
FinTech Co 1559,FinTech,APAC,Referral,Individual Contributor,Growth,846,24.23,44,13,35,6,0,0,111,0,110,33,22,8,0
EdTech Co 1560,EdTech,India,Organic Search,Manager,Starter,21,0.68,27,87,3,12,0,2,159,35,112,45,39,99,0
RealEstate Co 1561,Real Estate,LATAM,LinkedIn,VP,Growth,60,0.87,46,35,22,10,0,2,284,38,14,95,14,68,0
Cybersecurity Co 1562,Cybersecurity,Middle East,Organic Search,Manager,Free Trial,29,0.77,24,26,31,16,0,3,372,16,18,189,29,27,0
Cybersecurity Co 1563,Cybersecurity,India,Referral,Manager,Starter,6,0.12,11,72,2,0,0,6,223,38,84,28,7,66,0
Cybersecurity Co 1564,Cybersecurity,North America,Partner,Manager,Growth,419,15.12,40,4,30,6,1,0,57,32,16,187,95,31,1
EdTech Co 1565,EdTech,North America,Webinar,Individual Contributor,Growth,28,0.27,15,11,21,5,0,5,321,32,27,203,63,91,0
Healthcare Co 1566,Healthcare,North America,Organic Search,Manager,Growth,5,0.09,22,31,9,17,0,0,141,6,4,129,96,42,0
Healthcare Co 1567,Healthcare,Middle East,Paid Ads,Director,Free Trial,1140,39.12,42,28,20,1,0,2,103,30,87,88,68,70,0
Manufacturing Co 1568,Manufacturing,APAC,Organic Search,Director,Enterprise,93,3.15,21,71,0,8,0,4,156,11,57,64,8,68,0
EdTech Co 1569,EdTech,Middle East,LinkedIn,VP,Free Trial,63,1.14,19,58,23,7,0,5,181,19,39,206,21,28,0
SaaS Co 1570,SaaS,APAC,Webinar,VP,Enterprise,483,4.52,27,27,12,4,1,7,321,34,87,166,71,96,1
Healthcare Co 1571,Healthcare,Middle East,Partner,Director,Starter,165,3.36,44,87,10,7,0,1,232,12,130,136,18,85,0
SaaS Co 1572,SaaS,Middle East,Webinar,Director,Growth,10,0.19,10,44,4,8,0,3,181,0,120,181,39,35,0
RealEstate Co 1573,Real Estate,North America,Organic Search,VP,Free Trial,504,12.18,11,41,9,16,0,5,16,26,59,119,100,42,0
RealEstate Co 1574,Real Estate,Middle East,Email Campaign,Manager,Free Trial,74,0.61,6,2,2,3,0,3,362,34,46,169,85,23,0
Healthcare Co 1575,Healthcare,LATAM,Conference,C-Level,Enterprise,8,0.22,35,84,26,7,1,3,91,24,34,113,26,31,0
Manufacturing Co 1576,Manufacturing,LATAM,Referral,Individual Contributor,Enterprise,14,0.38,34,31,37,0,0,2,299,16,63,83,35,59,0
SaaS Co 1577,SaaS,LATAM,Organic Search,Manager,Enterprise,3370,50.04,33,64,40,13,0,9,109,2,6,153,92,53,1
Manufacturing Co 1578,Manufacturing,APAC,Paid Ads,Individual Contributor,Free Trial,16,0.56,10,2,5,10,0,7,183,25,117,104,32,67,0
SaaS Co 1579,SaaS,Europe,Email Campaign,Director,Free Trial,13,0.34,29,25,22,1,0,5,257,20,89,207,15,26,1
FinTech Co 1580,FinTech,North America,Webinar,Director,Growth,62,1.77,15,36,23,12,0,0,397,14,5,126,95,88,1
FinTech Co 1581,FinTech,Middle East,LinkedIn,Individual Contributor,Growth,98,2.58,7,64,6,8,1,7,391,14,120,143,29,46,0
Manufacturing Co 1582,Manufacturing,APAC,Conference,Individual Contributor,Growth,470,5.84,32,28,0,13,0,2,190,0,71,99,19,22,0
Manufacturing Co 1583,Manufacturing,India,Email Campaign,Manager,Enterprise,84,1,3,1,2,18,0,8,119,26,15,17,19,100,0
Cybersecurity Co 1584,Cybersecurity,LATAM,LinkedIn,C-Level,Enterprise,308,6.11,50,50,33,17,1,4,85,34,128,87,81,39,1
FinTech Co 1585,FinTech,Middle East,Referral,VP,Free Trial,607,16.55,45,16,37,8,0,0,27,10,12,77,63,70,1
EdTech Co 1586,EdTech,India,Paid Ads,VP,Starter,174,1.62,51,7,12,9,0,0,374,10,35,178,85,52,0
Cybersecurity Co 1587,Cybersecurity,North America,Paid Ads,C-Level,Free Trial,50,0.9,38,38,1,13,1,7,56,15,35,24,88,71,0
Manufacturing Co 1588,Manufacturing,North America,Conference,VP,Starter,779,12.62,35,65,32,16,1,8,61,3,47,158,94,12,1
Cybersecurity Co 1589,Cybersecurity,LATAM,Partner,Manager,Starter,2188,40.73,4,57,0,0,1,1,36,26,14,195,41,45,0
EdTech Co 1590,EdTech,APAC,Conference,Manager,Free Trial,10,0.22,51,8,24,5,0,6,308,13,65,164,6,66,0
Manufacturing Co 1591,Manufacturing,APAC,Partner,Individual Contributor,Starter,47,1.63,53,85,1,18,0,4,348,38,41,143,100,94,0
RealEstate Co 1592,Real Estate,LATAM,Paid Ads,Manager,Growth,19,0.28,45,65,22,12,0,1,239,28,122,148,85,65,0
Manufacturing Co 1593,Manufacturing,North America,Referral,C-Level,Free Trial,11,0.33,44,63,5,10,0,8,104,2,79,174,87,70,1
Cybersecurity Co 1594,Cybersecurity,APAC,Organic Search,VP,Growth,87,2.26,44,80,24,18,0,1,291,36,40,180,62,61,1
E-commerce Co 1595,E-commerce,North America,LinkedIn,VP,Growth,2906,76.54,36,84,32,14,0,0,241,14,46,212,57,5,1
EdTech Co 1596,EdTech,Europe,LinkedIn,Individual Contributor,Enterprise,3135,64.1,55,33,34,16,1,8,67,14,59,86,11,49,0
Healthcare Co 1597,Healthcare,North America,Paid Ads,Manager,Enterprise,20,0.68,40,74,0,15,0,0,100,13,10,163,51,58,0
RealEstate Co 1598,Real Estate,APAC,Conference,Manager,Starter,50,1.44,50,30,35,9,1,8,60,36,71,104,11,35,0
E-commerce Co 1599,E-commerce,Europe,Webinar,Director,Starter,2364,20.17,15,56,15,10,0,2,381,6,70,145,43,25,1
Manufacturing Co 1600,Manufacturing,North America,Partner,Individual Contributor,Growth,16,0.63,16,77,11,8,0,1,1,27,49,130,24,53,0
SaaS Co 1601,SaaS,APAC,Organic Search,Individual Contributor,Growth,14,0.22,53,42,7,6,0,8,46,6,92,0,40,87,1
Manufacturing Co 1602,Manufacturing,India,Organic Search,Manager,Enterprise,9,0.26,26,82,1,4,1,8,74,10,63,50,85,63,0
Cybersecurity Co 1603,Cybersecurity,LATAM,Partner,Manager,Enterprise,2734,78.88,11,10,9,13,0,5,204,18,59,215,66,40,0
RealEstate Co 1604,Real Estate,North America,Email Campaign,VP,Growth,2167,29.78,47,47,27,10,0,1,138,37,31,214,8,40,0
EdTech Co 1605,EdTech,APAC,LinkedIn,Director,Starter,3474,76.01,18,75,1,14,0,7,294,29,74,103,26,83,0
Cybersecurity Co 1606,Cybersecurity,APAC,Paid Ads,Manager,Free Trial,2773,106.66,27,55,18,17,0,2,330,29,81,120,8,5,0
FinTech Co 1607,FinTech,LATAM,Webinar,Individual Contributor,Enterprise,36,0.59,51,57,21,10,0,9,343,37,118,209,29,7,0
SaaS Co 1608,SaaS,North America,Organic Search,Director,Starter,2034,57.18,45,16,17,12,0,1,107,10,28,27,72,65,1
EdTech Co 1609,EdTech,North America,Partner,Individual Contributor,Starter,7,0.16,17,74,15,13,0,6,249,18,86,79,78,28,0
RealEstate Co 1610,Real Estate,LATAM,Email Campaign,Director,Starter,9,0.18,16,73,7,0,0,1,121,18,29,98,72,14,0
SaaS Co 1611,SaaS,LATAM,Paid Ads,Director,Growth,36,0.32,7,66,14,14,0,5,106,9,109,145,98,18,0
FinTech Co 1612,FinTech,APAC,Paid Ads,Manager,Enterprise,27,0.68,54,21,37,0,1,4,37,24,73,16,14,73,0
Cybersecurity Co 1613,Cybersecurity,Middle East,Paid Ads,Individual Contributor,Free Trial,890,10.64,35,35,1,1,1,8,312,30,32,210,66,24,0
EdTech Co 1614,EdTech,North America,Referral,Individual Contributor,Free Trial,143,4.26,54,52,24,10,0,9,8,16,70,124,47,15,0
Cybersecurity Co 1615,Cybersecurity,Europe,Webinar,VP,Free Trial,2225,26.15,17,12,20,10,0,4,219,20,101,63,58,99,1
Manufacturing Co 1616,Manufacturing,LATAM,Partner,C-Level,Starter,2070,26.37,18,40,11,11,0,2,16,35,8,84,69,8,0
SaaS Co 1617,SaaS,North America,Partner,Manager,Growth,27,0.5,18,30,4,14,0,0,288,22,118,193,79,90,1
EdTech Co 1618,EdTech,North America,Organic Search,C-Level,Starter,1184,45.52,50,20,4,12,0,5,219,31,22,71,65,38,1
EdTech Co 1619,EdTech,Europe,LinkedIn,Individual Contributor,Free Trial,53,1.87,18,7,7,18,0,7,184,26,37,145,40,70,0
FinTech Co 1620,FinTech,Europe,Email Campaign,Director,Free Trial,491,15.05,26,90,19,0,0,6,375,1,72,41,44,98,1
Healthcare Co 1621,Healthcare,APAC,Paid Ads,Manager,Enterprise,61,1.12,33,1,40,13,0,1,323,22,95,109,7,65,0
Healthcare Co 1622,Healthcare,North America,Conference,Manager,Starter,42,0.89,25,81,20,16,1,7,77,16,18,103,20,53,0
SaaS Co 1623,SaaS,LATAM,LinkedIn,C-Level,Growth,149,1.7,36,52,5,1,1,5,205,35,5,98,17,45,0
RealEstate Co 1624,Real Estate,Europe,Email Campaign,Director,Starter,111,1.1,21,88,29,9,1,8,126,9,49,12,93,75,0
Cybersecurity Co 1625,Cybersecurity,LATAM,Organic Search,Director,Starter,23,0.9,32,23,19,9,0,7,333,26,34,200,60,69,1
Manufacturing Co 1626,Manufacturing,APAC,Partner,Manager,Enterprise,884,18.4,36,54,15,0,1,7,166,30,78,20,91,5,0
